,elevation,latitude,longitude,speedD,speedE,speedN,run,tf_id,discipline_from_name,timestamp
0,2362.475,46.5857498,7.9468063,2.707,2.743,-10.44,1,109873,DH,20250115T125530400000
1,2362.158,46.5857401,7.9468108,2.757,3.418,-10.525,1,109873,DH,20250115T125530500000
2,2361.897,46.5857293,7.9468156,2.739,3.749,-11.485,1,109873,DH,20250115T125530600000
3,2361.633,46.585719,7.9468195,2.733,3.309,-11.532,1,109873,DH,20250115T125530700000
4,2361.341,46.585708,7.9468236,2.732,3.36,-11.869,1,109873,DH,20250115T125530800000
5,2360.991,46.5856967,7.9468272,2.796,3.097,-12.131,1,109873,DH,20250115T125530900000
6,2360.561,46.5856854,7.9468313,2.958,3.282,-12.297,1,109873,DH,20250115T125531000000
7,2359.989,46.585674,7.9468357,3.235,3.441,-12.281,1,109873,DH,20250115T125531100000
8,2359.321,46.5856628,7.9468385,3.604,2.749,-12.228,1,109873,DH,20250115T125531200000
9,2358.882,46.5856501,7.94684,3.667,1.611,-13.191,1,109873,DH,20250115T125531300000
10,2358.295,46.5856372,7.9468429,3.841,2.323,-13.691,1,109873,DH,20250115T125531400000
11,2357.815,46.5856238,7.946846,3.896,2.513,-14.22,1,109873,DH,20250115T125531500000
12,2357.189,46.5856108,7.9468491,4.109,2.627,-14.252,1,109873,DH,20250115T125531600000
13,2356.479,46.5855973,7.9468526,4.352,2.887,-14.583,1,109873,DH,20250115T125531700000
14,2355.69,46.5855846,7.946856,4.671,3.007,-14.326,1,109873,DH,20250115T125531800000
15,2355.038,46.5855717,7.9468602,4.807,3.416,-14.357,1,109873,DH,20250115T125531900000
16,2354.47,46.5855573,7.9468652,4.845,3.907,-15.352,1,109873,DH,20250115T125532000000
17,2353.846,46.5855432,7.9468687,4.937,3.196,-15.631,1,109873,DH,20250115T125532100000
18,2353.212,46.5855287,7.9468729,5.047,3.435,-15.972,1,109873,DH,20250115T125532200000
19,2352.47,46.5855144,7.9468766,5.257,3.237,-15.973,1,109873,DH,20250115T125532300000
20,2351.74,46.5854998,7.9468807,5.447,3.376,-16.184,1,109873,DH,20250115T125532400000
21,2351.084,46.5854851,7.9468851,5.554,3.6,-16.354,1,109873,DH,20250115T125532500000
22,2350.489,46.5854699,7.9468896,5.591,3.65,-16.718,1,109873,DH,20250115T125532600000
23,2349.914,46.5854544,7.9468941,5.607,3.71,-17.044,1,109873,DH,20250115T125532700000
24,2349.306,46.5854388,7.9468988,5.651,3.721,-17.272,1,109873,DH,20250115T125532800000
25,2348.684,46.585423,7.9469035,5.707,3.761,-17.473,1,109873,DH,20250115T125532900000
26,2348.169,46.5854068,7.9469084,5.657,3.869,-17.824,1,109873,DH,20250115T125533000000
27,2347.68,46.5853903,7.9469133,5.598,3.89,-18.185,1,109873,DH,20250115T125533100000
28,2347.206,46.5853737,7.946918,5.548,3.799,-18.365,1,109873,DH,20250115T125533200000
29,2346.71,46.5853568,7.9469226,5.52,3.715,-18.645,1,109873,DH,20250115T125533300000
30,2346.163,46.5853399,7.9469277,5.547,3.979,-18.747,1,109873,DH,20250115T125533400000
31,2345.576,46.585323,7.9469328,5.586,4.081,-18.858,1,109873,DH,20250115T125533500000
32,2345.011,46.5853058,7.946938,5.604,4.084,-19.098,1,109873,DH,20250115T125533600000
33,2344.496,46.5852883,7.9469431,5.568,4.04,-19.324,1,109873,DH,20250115T125533700000
34,2343.938,46.5852706,7.9469484,5.574,4.134,-19.558,1,109873,DH,20250115T125533800000
35,2343.369,46.5852529,7.9469538,5.581,4.218,-19.706,1,109873,DH,20250115T125533900000
36,2342.863,46.5852345,7.9469592,5.53,4.199,-20.145,1,109873,DH,20250115T125534000000
37,2342.361,46.5852163,7.9469646,5.489,4.22,-20.169,1,109873,DH,20250115T125534100000
38,2341.795,46.5851978,7.9469702,5.523,4.302,-20.267,1,109873,DH,20250115T125534200000
39,2341.205,46.5851793,7.9469758,5.565,4.347,-20.404,1,109873,DH,20250115T125534300000
40,2340.544,46.585161,7.9469812,5.668,4.349,-20.333,1,109873,DH,20250115T125534400000
41,2339.869,46.5851423,7.9469866,5.767,4.329,-20.69,1,109873,DH,20250115T125534500000
42,2339.159,46.5851234,7.9469923,5.894,4.505,-20.811,1,109873,DH,20250115T125534600000
43,2338.423,46.5851046,7.9469978,6.04,4.527,-20.855,1,109873,DH,20250115T125534700000
