,elevation,latitude,longitude,speedD,speedE,speedN,run,tf_id,discipline_from_name,timestamp
0,2362.778,46.5857528,7.946783,3.01,2.107,-10.072,1,109869,DH,20250115T125144400000
1,2362.439,46.5857429,7.9467857,3.065,2.045,-10.875,1,109869,DH,20250115T125144500000
2,2362.166,46.5857324,7.9467891,3.038,2.319,-11.438,1,109869,DH,20250115T125144600000
3,2361.814,46.5857223,7.946793,3.09,2.715,-11.299,1,109869,DH,20250115T125144700000
4,2361.344,46.5857114,7.9467973,3.346,2.992,-11.761,1,109869,DH,20250115T125144800000
5,2360.823,46.5857009,7.9468009,3.596,2.63,-11.688,1,109869,DH,20250115T125144900000
6,2360.189,46.5856904,7.9468044,3.931,2.596,-11.873,1,109869,DH,20250115T125145000000
7,2359.737,46.5856798,7.9468089,4.01,3.199,-11.892,1,109869,DH,20250115T125145100000
8,2359.354,46.5856679,7.9468142,4.02,3.752,-12.814,1,109869,DH,20250115T125145200000
9,2358.99,46.5856563,7.9468192,4.017,3.728,-12.866,1,109869,DH,20250115T125145300000
10,2358.417,46.5856446,7.9468238,4.25,3.478,-13.001,1,109869,DH,20250115T125145400000
11,2357.723,46.5856325,7.9468289,4.601,3.597,-13.469,1,109869,DH,20250115T125145500000
12,2357.181,46.5856205,7.9468332,4.735,3.105,-13.372,1,109869,DH,20250115T125145600000
13,2356.725,46.5856077,7.9468362,4.726,2.348,-14.015,1,109869,DH,20250115T125145700000
14,2356.211,46.5855944,7.9468398,4.791,2.621,-14.703,1,109869,DH,20250115T125145800000
15,2355.631,46.5855812,7.9468436,4.914,2.779,-14.908,1,109869,DH,20250115T125145900000
16,2355.012,46.5855678,7.9468474,5.093,2.828,-15.023,1,109869,DH,20250115T125146000000
17,2354.354,46.5855544,7.9468518,5.313,3.155,-15.021,1,109869,DH,20250115T125146100000
18,2353.711,46.5855406,7.946856,5.465,3.145,-15.408,1,109869,DH,20250115T125146200000
19,2353.06,46.5855267,7.9468605,5.627,3.31,-15.521,1,109869,DH,20250115T125146300000
20,2352.425,46.5855126,7.9468651,5.756,3.368,-15.628,1,109869,DH,20250115T125146400000
21,2351.793,46.5854979,7.9468696,5.876,3.317,-16.121,1,109869,DH,20250115T125146500000
22,2351.267,46.585483,7.9468742,5.831,3.416,-16.368,1,109869,DH,20250115T125146600000
23,2350.745,46.5854679,7.9468788,5.766,3.433,-16.696,1,109869,DH,20250115T125146700000
24,2350.161,46.5854527,7.9468837,5.805,3.623,-16.911,1,109869,DH,20250115T125146800000
25,2349.577,46.5854371,7.9468886,5.832,3.689,-17.208,1,109869,DH,20250115T125146900000
26,2349.009,46.5854214,7.9468938,5.841,3.809,-17.337,1,109869,DH,20250115T125147000000
27,2348.46,46.5854054,7.946899,5.823,3.868,-17.683,1,109869,DH,20250115T125147100000
28,2347.951,46.585389,7.9469043,5.751,3.938,-17.995,1,109869,DH,20250115T125147200000
29,2347.45,46.5853727,7.9469097,5.664,3.979,-18.096,1,109869,DH,20250115T125147300000
30,2346.945,46.5853561,7.946915,5.592,3.984,-18.324,1,109869,DH,20250115T125147400000
31,2346.397,46.5853394,7.9469204,5.576,4.055,-18.541,1,109869,DH,20250115T125147500000
32,2345.835,46.5853226,7.9469259,5.59,4.029,-18.694,1,109869,DH,20250115T125147600000
33,2345.281,46.5853057,7.9469314,5.594,4.083,-18.81,1,109869,DH,20250115T125147700000
34,2344.733,46.5852884,7.946937,5.596,4.15,-19.053,1,109869,DH,20250115T125147800000
35,2344.202,46.585271,7.9469427,5.575,4.215,-19.241,1,109869,DH,20250115T125147900000
36,2343.658,46.5852534,7.9469483,5.584,4.184,-19.476,1,109869,DH,20250115T125148000000
37,2343.093,46.5852356,7.9469539,5.625,4.225,-19.656,1,109869,DH,20250115T125148100000
38,2342.529,46.5852178,7.9469597,5.649,4.272,-19.744,1,109869,DH,20250115T125148200000
39,2341.984,46.5851997,7.9469654,5.642,4.309,-19.979,1,109869,DH,20250115T125148300000
