,elevation,latitude,longitude,speedD,speedE,speedN,run,tf_id,discipline_from_name,timestamp
0,3222.52,39.5740608,-106.5137327,7.788,-15.987,4.042,1,109575,DH,20241213T181319500000
1,3221.619,39.5740647,-106.5137513,7.932,-16.254,4.286,1,109575,DH,20241213T181319600000
2,3220.719,39.5740691,-106.5137701,8.06,-16.389,4.841,1,109575,DH,20241213T181319700000
3,3219.739,39.574074,-106.5137888,8.283,-16.483,5.374,1,109575,DH,20241213T181319800000
4,3218.787,39.5740794,-106.5138078,8.437,-16.602,5.953,1,109575,DH,20241213T181319900000
5,3217.725,39.5740854,-106.5138265,8.717,-16.579,6.645,1,109575,DH,20241213T181320000000
6,3216.698,39.574092,-106.5138455,8.912,-16.689,7.221,1,109575,DH,20241213T181320100000
7,3215.67,39.5740992,-106.5138646,9.079,-16.678,7.878,1,109575,DH,20241213T181320200000
8,3214.604,39.574107,-106.5138837,9.277,-16.682,8.589,1,109575,DH,20241213T181320300000
9,3213.523,39.5741156,-106.5139025,9.468,-16.528,9.482,1,109575,DH,20241213T181320400000
10,3212.481,39.5741249,-106.5139213,9.58,-16.404,10.223,1,109575,DH,20241213T181320500000
11,3211.422,39.5741356,-106.5139394,9.704,-15.77,11.597,1,109575,DH,20241213T181320600000
12,3210.4,39.5741468,-106.5139571,9.777,-15.422,12.348,1,109575,DH,20241213T181320700000
13,3209.285,39.5741593,-106.5139738,9.959,-14.667,13.702,1,109575,DH,20241213T181320800000
14,3208.196,39.5741725,-106.5139902,10.065,-14.329,14.543,1,109575,DH,20241213T181320900000
15,3207.037,39.5741862,-106.5140062,10.252,-14.031,15.156,1,109575,DH,20241213T181321000000
16,3205.916,39.5742012,-106.5140213,10.36,-13.265,16.462,1,109575,DH,20241213T181321100000
17,3204.983,39.5742175,-106.5140352,10.195,-11.857,17.819,1,109575,DH,20241213T181321200000
18,3203.916,39.5742339,-106.5140481,10.258,-11.258,18.222,1,109575,DH,20241213T181321300000
19,3202.963,39.5742517,-106.5140602,10.162,-10.341,19.586,1,109575,DH,20241213T181321400000
20,3201.937,39.5742695,-106.5140712,10.158,-9.59,19.767,1,109575,DH,20241213T181321500000
21,3200.998,39.5742883,-106.5140818,10.044,-8.992,20.641,1,109575,DH,20241213T181321600000
