,elevation,latitude,longitude,speedD,speedE,speedN,run,tf_id,discipline_from_name,timestamp
0,3488.714,39.4829254,-106.1487314,2.123,3.032,8.719,1,109207,SG,20241130T201558100000
1,3488.224,39.4829337,-106.1487286,2.431,3.086,8.773,1,109207,SG,20241130T201558200000
2,3487.802,39.4829418,-106.1487256,2.641,2.95,8.755,1,109207,SG,20241130T201558300000
3,3487.424,39.4829504,-106.1487227,2.772,2.866,9.197,1,109207,SG,20241130T201558400000
4,3487.212,39.4829592,-106.1487214,2.685,1.514,9.681,1,109207,SG,20241130T201558500000
5,3487.172,39.4829684,-106.1487186,2.414,1.845,10.369,1,109207,SG,20241130T201558600000
6,3487.019,39.482978,-106.1487165,2.309,1.732,10.657,1,109207,SG,20241130T201558700000
7,3486.79,39.4829876,-106.148714,2.306,2.114,10.727,1,109207,SG,20241130T201558800000
8,3486.46,39.4829976,-106.1487121,2.433,1.827,10.892,1,109207,SG,20241130T201558900000
9,3486.233,39.4830068,-106.1487092,2.416,2.402,10.373,1,109207,SG,20241130T201559000000
10,3486.139,39.4830165,-106.1487054,2.231,2.969,10.82,1,109207,SG,20241130T201559100000
11,3486.019,39.4830268,-106.1487016,2.101,3.193,11.468,1,109207,SG,20241130T201559200000
12,3485.815,39.4830372,-106.1486977,2.084,3.357,11.488,1,109207,SG,20241130T201559300000
13,3485.49,39.4830475,-106.148694,2.225,3.278,11.375,1,109207,SG,20241130T201559400000
14,3485.049,39.4830584,-106.1486911,2.495,2.793,11.787,1,109207,SG,20241130T201559500000
15,3484.569,39.4830692,-106.1486879,2.789,2.813,11.84,1,109207,SG,20241130T201559600000
16,3484.325,39.4830799,-106.148686,2.741,1.886,11.844,1,109207,SG,20241130T201559700000
17,3484.223,39.4830912,-106.148684,2.513,1.732,12.493,1,109207,SG,20241130T201559800000
18,3484.034,39.4831025,-106.1486815,2.42,2.1,12.53,1,109207,SG,20241130T201559900000
19,3483.807,39.4831139,-106.1486792,2.391,2.083,12.615,1,109207,SG,20241130T201600000000
20,3483.455,39.4831251,-106.1486773,2.537,1.802,12.522,1,109207,SG,20241130T201600100000
21,3483.16,39.4831362,-106.1486745,2.587,2.288,12.327,1,109207,SG,20241130T201600200000
22,3482.951,39.4831469,-106.1486706,2.515,3.189,12.043,1,109207,SG,20241130T201600300000
23,3482.787,39.4831584,-106.1486668,2.395,3.253,12.59,1,109207,SG,20241130T201600400000
24,3482.665,39.4831707,-106.1486638,2.237,2.765,13.47,1,109207,SG,20241130T201600500000
25,3482.508,39.4831827,-106.1486602,2.147,3.052,13.363,1,109207,SG,20241130T201600600000
26,3482.201,39.4831949,-106.1486565,2.26,3.193,13.45,1,109207,SG,20241130T201600700000
27,3481.815,39.4832073,-106.1486523,2.471,3.541,13.603,1,109207,SG,20241130T201600800000
28,3481.518,39.4832198,-106.1486494,2.528,2.774,13.751,1,109207,SG,20241130T201600900000
29,3481.485,39.4832317,-106.1486471,2.243,2.067,13.459,1,109207,SG,20241130T201601000000
30,3481.428,39.4832437,-106.1486441,2.02,2.457,13.511,1,109207,SG,20241130T201601100000
31,3481.367,39.4832559,-106.148641,1.83,2.637,13.539,1,109207,SG,20241130T201601200000
32,3481.187,39.4832683,-106.1486382,1.826,2.493,13.752,1,109207,SG,20241130T201601300000
33,3480.911,39.4832807,-106.1486353,1.949,2.496,13.755,1,109207,SG,20241130T201601400000
34,3480.686,39.4832927,-106.1486321,1.988,2.765,13.402,1,109207,SG,20241130T201601500000
35,3480.536,39.4833042,-106.148628,1.918,3.355,12.915,1,109207,SG,20241130T201601600000
36,3480.45,39.483316,-106.1486229,1.771,4.278,13.104,1,109207,SG,20241130T201601700000
37,3480.433,39.4833285,-106.1486186,1.552,3.868,13.701,1,109207,SG,20241130T201601800000
38,3480.472,39.4833409,-106.1486143,1.279,3.695,13.927,1,109207,SG,20241130T201601900000
39,3480.389,39.483353,-106.1486096,1.215,3.921,13.63,1,109207,SG,20241130T201602000000
40,3480.187,39.4833655,-106.1486047,1.314,4.158,13.79,1,109207,SG,20241130T201602100000
41,3479.889,39.4833783,-106.1486001,1.525,4.164,13.935,1,109207,SG,20241130T201602200000
42,3479.69,39.4833907,-106.148596,1.582,3.726,13.711,1,109207,SG,20241130T201602300000
43,3479.687,39.483403,-106.1485926,1.385,3.026,13.796,1,109207,SG,20241130T201602400000
44,3479.617,39.4834155,-106.1485893,1.297,2.873,13.947,1,109207,SG,20241130T201602500000
45,3479.604,39.4834278,-106.1485852,1.147,3.342,13.885,1,109207,SG,20241130T201602600000
46,3479.479,39.4834403,-106.1485817,1.149,3.164,13.809,1,109207,SG,20241130T201602700000
47,3479.206,39.4834526,-106.1485785,1.333,2.962,13.58,1,109207,SG,20241130T201602800000
48,3479.019,39.4834646,-106.1485747,1.395,3.245,13.348,1,109207,SG,20241130T201602900000
49,3478.888,39.4834763,-106.1485696,1.373,4.169,13.001,1,109207,SG,20241130T201603000000
50,3478.868,39.4834884,-106.148564,1.224,4.693,13.427,1,109207,SG,20241130T201603100000
51,3478.802,39.4835006,-106.1485596,1.146,3.995,13.513,1,109207,SG,20241130T201603200000
52,3478.72,39.4835129,-106.1485545,1.099,4.358,13.574,1,109207,SG,20241130T201603300000
53,3478.47,39.4835253,-106.1485497,1.264,4.22,13.636,1,109207,SG,20241130T201603400000
54,3478.071,39.4835379,-106.1485448,1.594,4.269,13.734,1,109207,SG,20241130T201603500000
55,3477.769,39.4835503,-106.1485404,1.765,3.918,13.62,1,109207,SG,20241130T201603600000
56,3477.575,39.4835629,-106.1485367,1.781,3.359,13.812,1,109207,SG,20241130T201603700000
57,3477.479,39.483576,-106.1485326,1.668,3.542,14.472,1,109207,SG,20241130T201603800000
58,3477.271,39.4835889,-106.1485288,1.713,3.38,14.29,1,109207,SG,20241130T201603900000
59,3476.991,39.483602,-106.1485251,1.846,3.282,14.388,1,109207,SG,20241130T201604000000
60,3476.655,39.4836148,-106.1485209,2.038,3.602,14.201,1,109207,SG,20241130T201604100000
61,3476.319,39.4836277,-106.1485167,2.212,3.626,14.306,1,109207,SG,20241130T201604200000
62,3475.923,39.4836404,-106.1485122,2.441,3.786,14.097,1,109207,SG,20241130T201604300000
63,3475.429,39.4836532,-106.1485079,2.793,3.711,14.209,1,109207,SG,20241130T201604400000
64,3475.151,39.4836664,-106.1485044,2.808,3.121,14.568,1,109207,SG,20241130T201604500000
65,3475.003,39.4836802,-106.1485019,2.632,2.384,15.221,1,109207,SG,20241130T201604600000
66,3474.713,39.4836936,-106.1484989,2.677,2.561,14.88,1,109207,SG,20241130T201604700000
67,3474.424,39.4837074,-106.1484961,2.717,2.427,15.264,1,109207,SG,20241130T201604800000
68,3474.074,39.4837213,-106.1484933,2.839,2.425,15.299,1,109207,SG,20241130T201604900000
69,3473.679,39.483735,-106.1484903,3.014,2.537,15.265,1,109207,SG,20241130T201605000000
70,3473.221,39.4837485,-106.1484873,3.273,2.506,14.952,1,109207,SG,20241130T201605100000
71,3472.77,39.4837624,-106.1484847,3.481,2.23,15.402,1,109207,SG,20241130T201605200000
72,3472.466,39.483777,-106.1484849,3.426,0.174,16.098,1,109207,SG,20241130T201605300000
73,3472.206,39.4837919,-106.1484855,3.294,-0.423,16.497,1,109207,SG,20241130T201605400000
74,3471.883,39.4838067,-106.1484854,3.297,-0.016,16.423,1,109207,SG,20241130T201605500000
75,3471.548,39.4838215,-106.1484858,3.319,-0.336,16.434,1,109207,SG,20241130T201605600000
76,3471.134,39.4838363,-106.1484862,3.467,-0.328,16.434,1,109207,SG,20241130T201605700000
77,3470.661,39.483851,-106.1484865,3.676,-0.31,16.352,1,109207,SG,20241130T201605800000
78,3470.225,39.4838657,-106.1484867,3.793,-0.262,16.323,1,109207,SG,20241130T201605900000
79,3469.84,39.4838806,-106.148487,3.799,-0.286,16.494,1,109207,SG,20241130T201606000000
80,3469.449,39.4838958,-106.1484877,3.82,-0.553,16.841,1,109207,SG,20241130T201606100000
81,3469.13,39.4839111,-106.1484886,3.714,-0.694,16.998,1,109207,SG,20241130T201606200000
82,3468.665,39.4839267,-106.1484896,3.873,-0.849,17.258,1,109207,SG,20241130T201606300000
83,3468.218,39.4839423,-106.1484904,3.972,-0.745,17.273,1,109207,SG,20241130T201606400000
84,3467.729,39.4839579,-106.1484914,4.131,-0.87,17.357,1,109207,SG,20241130T201606500000
85,3467.24,39.4839736,-106.1484923,4.263,-0.757,17.393,1,109207,SG,20241130T201606600000
86,3466.636,39.4839895,-106.1484937,4.568,-1.11,17.595,1,109207,SG,20241130T201606700000
87,3466.041,39.4840054,-106.148495,4.808,-1.093,17.668,1,109207,SG,20241130T201606800000
88,3465.409,39.4840214,-106.1484961,5.071,-1.015,17.751,1,109207,SG,20241130T201606900000
89,3464.818,39.4840377,-106.1484972,5.221,-0.969,18.011,1,109207,SG,20241130T201607000000
90,3464.197,39.4840543,-106.1484986,5.394,-1.128,18.278,1,109207,SG,20241130T201607100000
91,3463.563,39.4840709,-106.1485,5.562,-1.178,18.431,1,109207,SG,20241130T201607200000
92,3462.962,39.4840879,-106.1485012,5.641,-1.079,18.76,1,109207,SG,20241130T201607300000
93,3462.349,39.484105,-106.1485025,5.726,-1.07,18.955,1,109207,SG,20241130T201607400000
94,3461.715,39.4841225,-106.1485035,5.822,-0.906,19.336,1,109207,SG,20241130T201607500000
95,3461.131,39.48414,-106.1485042,5.823,-0.671,19.456,1,109207,SG,20241130T201607600000
96,3460.575,39.4841577,-106.1485046,5.78,-0.342,19.699,1,109207,SG,20241130T201607700000
97,3460.033,39.4841758,-106.1485042,5.723,0.217,20.015,1,109207,SG,20241130T201607800000
98,3459.511,39.484194,-106.1485036,5.644,0.477,20.266,1,109207,SG,20241130T201607900000
99,3459.044,39.4842122,-106.1485023,5.491,1.01,20.234,1,109207,SG,20241130T201608000000
100,3458.622,39.4842306,-106.1485003,5.292,1.615,20.47,1,109207,SG,20241130T201608100000
101,3458.221,39.4842489,-106.1484976,5.081,2.175,20.475,1,109207,SG,20241130T201608200000
102,3457.849,39.4842672,-106.1484938,4.865,3.063,20.388,1,109207,SG,20241130T201608300000
103,3457.473,39.4842854,-106.1484892,4.688,3.798,20.346,1,109207,SG,20241130T201608400000
104,3457.17,39.484304,-106.1484836,4.432,4.548,20.632,1,109207,SG,20241130T201608500000
105,3456.838,39.4843223,-106.1484772,4.26,5.353,20.422,1,109207,SG,20241130T201608600000
106,3456.517,39.4843401,-106.1484696,4.101,6.254,20.045,1,109207,SG,20241130T201608700000
107,3456.207,39.4843579,-106.1484614,3.954,6.845,19.877,1,109207,SG,20241130T201608800000
108,3455.895,39.4843755,-106.1484528,3.83,7.22,19.662,1,109207,SG,20241130T201608900000
109,3455.55,39.4843931,-106.1484436,3.778,7.757,19.586,1,109207,SG,20241130T201609000000
110,3455.192,39.4844105,-106.1484339,3.757,8.191,19.45,1,109207,SG,20241130T201609100000
111,3454.828,39.4844279,-106.1484241,3.746,8.408,19.362,1,109207,SG,20241130T201609200000
112,3454.418,39.4844453,-106.1484142,3.802,8.545,19.32,1,109207,SG,20241130T201609300000
113,3454.037,39.4844626,-106.1484041,3.803,8.641,19.248,1,109207,SG,20241130T201609400000
114,3453.666,39.4844798,-106.1483943,3.781,8.551,19.191,1,109207,SG,20241130T201609500000
115,3453.266,39.4844974,-106.1483847,3.815,8.303,19.401,1,109207,SG,20241130T201609600000
116,3452.968,39.4845147,-106.1483752,3.708,8.123,19.362,1,109207,SG,20241130T201609700000
117,3452.739,39.4845322,-106.1483657,3.511,8.009,19.462,1,109207,SG,20241130T201609800000
118,3452.351,39.4845501,-106.1483572,3.572,7.426,19.721,1,109207,SG,20241130T201609900000
119,3451.965,39.4845681,-106.1483493,3.627,6.901,20.002,1,109207,SG,20241130T201610000000
120,3451.565,39.4845864,-106.1483422,3.685,6.249,20.261,1,109207,SG,20241130T201610100000
121,3451.227,39.4846049,-106.1483357,3.649,5.616,20.498,1,109207,SG,20241130T201610200000
122,3450.834,39.4846234,-106.14833,3.702,5.067,20.492,1,109207,SG,20241130T201610300000
123,3450.456,39.4846421,-106.1483251,3.717,4.247,20.738,1,109207,SG,20241130T201610400000
124,3450.068,39.4846609,-106.1483212,3.747,3.483,20.777,1,109207,SG,20241130T201610500000
125,3449.69,39.4846797,-106.1483183,3.754,2.617,20.913,1,109207,SG,20241130T201610600000
126,3449.26,39.484699,-106.148316,3.852,2.062,21.257,1,109207,SG,20241130T201610700000
127,3448.935,39.4847181,-106.1483151,3.748,0.959,21.275,1,109207,SG,20241130T201610800000
128,3448.594,39.4847374,-106.1483147,3.696,0.407,21.355,1,109207,SG,20241130T201610900000
129,3448.255,39.4847569,-106.1483152,3.643,-0.299,21.574,1,109207,SG,20241130T201611000000
130,3447.885,39.4847762,-106.1483162,3.653,-0.822,21.467,1,109207,SG,20241130T201611100000
131,3447.548,39.4847957,-106.1483178,3.607,-1.262,21.592,1,109207,SG,20241130T201611200000
132,3447.176,39.484815,-106.1483198,3.634,-1.671,21.481,1,109207,SG,20241130T201611300000
133,3446.779,39.4848341,-106.1483217,3.705,-1.669,21.244,1,109207,SG,20241130T201611400000
134,3446.399,39.4848533,-106.1483238,3.723,-1.692,21.384,1,109207,SG,20241130T201611500000
135,3446.033,39.4848726,-106.1483259,3.717,-1.801,21.418,1,109207,SG,20241130T201611600000
136,3445.597,39.484892,-106.1483279,3.831,-1.767,21.508,1,109207,SG,20241130T201611700000
137,3445.098,39.4849114,-106.1483297,4.027,-1.606,21.563,1,109207,SG,20241130T201611800000
138,3444.591,39.4849309,-106.1483315,4.203,-1.631,21.707,1,109207,SG,20241130T201611900000
139,3444.067,39.4849505,-106.1483334,4.373,-1.627,21.751,1,109207,SG,20241130T201612000000
140,3443.529,39.4849702,-106.1483352,4.548,-1.579,21.881,1,109207,SG,20241130T201612100000
141,3443.015,39.4849899,-106.1483367,4.654,-1.36,21.896,1,109207,SG,20241130T201612200000
142,3442.501,39.4850097,-106.148338,4.73,-1.164,21.986,1,109207,SG,20241130T201612300000
143,3441.98,39.4850295,-106.1483386,4.812,-0.616,22.03,1,109207,SG,20241130T201612400000
144,3441.468,39.4850493,-106.1483385,4.863,0.029,21.993,1,109207,SG,20241130T201612500000
145,3441.016,39.4850691,-106.1483374,4.803,0.805,22.093,1,109207,SG,20241130T201612600000
146,3440.515,39.4850889,-106.148335,4.843,1.874,22.003,1,109207,SG,20241130T201612700000
147,3440.078,39.4851085,-106.1483313,4.767,3.029,21.849,1,109207,SG,20241130T201612800000
148,3439.671,39.485128,-106.1483257,4.641,4.557,21.716,1,109207,SG,20241130T201612900000
149,3439.277,39.4851472,-106.1483186,4.513,5.869,21.442,1,109207,SG,20241130T201613000000
150,3438.83,39.4851664,-106.1483107,4.511,6.715,21.316,1,109207,SG,20241130T201613100000
151,3438.433,39.4851848,-106.148301,4.413,8.129,20.631,1,109207,SG,20241130T201613200000
152,3438.097,39.4852026,-106.1482894,4.211,9.653,19.874,1,109207,SG,20241130T201613300000
153,3437.688,39.4852202,-106.1482767,4.192,10.762,19.601,1,109207,SG,20241130T201613400000
154,3437.296,39.4852371,-106.1482631,4.136,11.577,18.923,1,109207,SG,20241130T201613500000
155,3436.876,39.4852541,-106.148249,4.136,12.072,18.922,1,109207,SG,20241130T201613600000
156,3436.326,39.485271,-106.1482348,4.391,12.317,18.731,1,109207,SG,20241130T201613700000
157,3435.75,39.4852878,-106.1482206,4.658,12.397,18.631,1,109207,SG,20241130T201613800000
158,3435.152,39.4853046,-106.1482061,4.916,12.646,18.67,1,109207,SG,20241130T201613900000
159,3434.482,39.4853213,-106.1481913,5.26,12.938,18.52,1,109207,SG,20241130T201614000000
160,3433.752,39.4853379,-106.1481767,5.649,12.829,18.454,1,109207,SG,20241130T201614100000
161,3433.025,39.4853547,-106.148162,5.959,12.82,18.587,1,109207,SG,20241130T201614200000
162,3432.221,39.4853714,-106.1481474,6.359,12.811,18.623,1,109207,SG,20241130T201614300000
163,3431.364,39.4853883,-106.148133,6.781,12.665,18.781,1,109207,SG,20241130T201614400000
164,3430.621,39.4854055,-106.1481188,6.906,12.241,19,1,109207,SG,20241130T201614500000
165,3429.868,39.4854229,-106.1481052,7.022,11.873,19.333,1,109207,SG,20241130T201614600000
166,3429.116,39.4854404,-106.1480919,7.115,11.542,19.393,1,109207,SG,20241130T201614700000
167,3428.35,39.4854589,-106.1480791,7.21,11.117,20.231,1,109207,SG,20241130T201614800000
168,3427.613,39.4854778,-106.148068,7.236,9.969,20.782,1,109207,SG,20241130T201614900000
169,3426.856,39.4854967,-106.1480572,7.29,9.452,20.911,1,109207,SG,20241130T201615000000
170,3426.143,39.4855169,-106.1480478,7.265,8.453,22.06,1,109207,SG,20241130T201615100000
171,3425.47,39.4855377,-106.1480397,7.183,7.346,22.797,1,109207,SG,20241130T201615200000
172,3424.885,39.4855591,-106.1480332,6.987,5.98,23.509,1,109207,SG,20241130T201615300000
173,3424.324,39.4855808,-106.1480283,6.791,4.678,23.973,1,109207,SG,20241130T201615400000
174,3423.795,39.4856027,-106.1480248,6.582,3.452,24.213,1,109207,SG,20241130T201615500000
175,3423.381,39.4856244,-106.1480219,6.246,2.731,24.19,1,109207,SG,20241130T201615600000
176,3422.958,39.4856461,-106.1480198,5.975,2.068,24.183,1,109207,SG,20241130T201615700000
177,3422.515,39.4856684,-106.1480182,5.77,1.597,24.617,1,109207,SG,20241130T201615800000
178,3421.987,39.4856902,-106.148017,5.71,1.203,24.325,1,109207,SG,20241130T201615900000
179,3421.447,39.4857122,-106.1480155,5.668,1.286,24.418,1,109207,SG,20241130T201616000000
180,3420.885,39.4857342,-106.148014,5.66,1.314,24.452,1,109207,SG,20241130T201616100000
181,3420.186,39.4857562,-106.1480123,5.827,1.365,24.403,1,109207,SG,20241130T201616200000
182,3419.445,39.485778,-106.1480103,6.027,1.627,24.283,1,109207,SG,20241130T201616300000
183,3418.758,39.4858,-106.1480072,6.136,2.465,24.367,1,109207,SG,20241130T201616400000
184,3418.043,39.4858216,-106.1480037,6.267,2.879,24.098,1,109207,SG,20241130T201616500000
185,3417.28,39.4858432,-106.1479992,6.446,3.671,24.047,1,109207,SG,20241130T201616600000
186,3416.58,39.4858648,-106.1479929,6.52,5.074,24.008,1,109207,SG,20241130T201616700000
187,3415.857,39.4858856,-106.1479846,6.616,6.702,23.426,1,109207,SG,20241130T201616800000
188,3415.12,39.4859063,-106.1479762,6.722,7.168,23.042,1,109207,SG,20241130T201616900000
189,3414.351,39.485927,-106.1479653,6.858,8.885,23.007,1,109207,SG,20241130T201617000000
190,3413.62,39.4859465,-106.1479531,6.924,10.158,22.049,1,109207,SG,20241130T201617100000
191,3412.829,39.4859659,-106.1479391,7.067,11.643,21.704,1,109207,SG,20241130T201617200000
192,3412.096,39.4859842,-106.1479231,7.113,13.205,20.761,1,109207,SG,20241130T201617300000
193,3411.354,39.4860021,-106.1479062,7.162,14.216,20.194,1,109207,SG,20241130T201617400000
194,3410.602,39.4860194,-106.147888,7.217,15.346,19.535,1,109207,SG,20241130T201617500000
195,3409.879,39.4860361,-106.1478683,7.225,16.49,18.862,1,109207,SG,20241130T201617600000
196,3409.255,39.4860523,-106.1478472,7.1,17.701,18.317,1,109207,SG,20241130T201617700000
197,3408.705,39.4860678,-106.1478248,6.896,18.771,17.679,1,109207,SG,20241130T201617800000
