,elevation,latitude,longitude,speedD,speedE,speedN,run,tf_id,discipline_from_name,timestamp
607,2741.28,46.5051049,9.801565,2.415,5.881,-2.887,2,110586,-,20250319T114609900000
608,2741.094,46.5051021,9.8015727,2.32,5.875,-3.062,2,110586,-,20250319T114610000000
609,2741.076,46.5050989,9.8015808,1.958,5.925,-3.64,2,110586,-,20250319T114610100000
610,2741.06,46.5050963,9.8015879,1.662,5.308,-3.296,2,110586,-,20250319T114610200000
611,2741.167,46.5050925,9.8015957,1.214,5.589,-4.193,2,110586,-,20250319T114610300000
612,2741.341,46.5050887,9.8016023,0.746,4.92,-4.631,2,110586,-,20250319T114610400000
613,2741.598,46.5050856,9.8016105,0.251,5.821,-4.254,2,110586,-,20250319T114610500000
614,2741.812,46.5050832,9.8016172,-0.094,5.043,-3.394,2,110586,-,20250319T114610600000
615,2742.167,46.5050812,9.8016227,-0.587,4.176,-3.08,2,110586,-,20250319T114610700000
616,2742.394,46.5050799,9.8016285,-0.82,4.336,-2.106,2,110586,-,20250319T114610800000
617,2742.435,46.5050776,9.8016351,-0.763,5.017,-2.392,2,110586,-,20250319T114610900000
618,2742.418,46.5050753,9.8016413,-0.629,4.89,-2.326,2,110586,-,20250319T114611000000
619,2742.318,46.5050733,9.8016477,-0.397,5,-2.077,2,110586,-,20250319T114611100000
620,2742.069,46.5050709,9.801654,0.031,5.099,-2.108,2,110586,-,20250319T114611200000
621,2741.716,46.5050688,9.8016603,0.55,5.127,-1.953,2,110586,-,20250319T114611300000
622,2741.143,46.5050664,9.8016676,1.31,5.927,-1.972,2,110586,-,20250319T114611400000
623,2740.604,46.5050647,9.8016752,1.923,6.183,-1.538,2,110586,-,20250319T114611500000
624,2740.281,46.5050621,9.8016827,2.113,5.941,-2.434,2,110586,-,20250319T114611600000
625,2740.047,46.5050592,9.8016911,2.153,6.413,-3.027,2,110586,-,20250319T114611700000
626,2739.898,46.5050563,9.8016993,2.057,6.268,-3.276,2,110586,-,20250319T114611800000
627,2739.944,46.5050533,9.8017084,1.669,6.53,-3.441,2,110586,-,20250319T114611900000
628,2739.861,46.5050497,9.8017183,1.543,7.34,-3.871,2,110586,-,20250319T114612000000
629,2739.644,46.5050461,9.8017284,1.644,7.824,-3.918,2,110586,-,20250319T114612100000
630,2739.358,46.5050426,9.801738,1.836,7.646,-3.895,2,110586,-,20250319T114612200000
631,2739.001,46.5050391,9.8017478,2.116,7.78,-3.709,2,110586,-,20250319T114612300000
632,2738.573,46.5050356,9.8017577,2.464,7.955,-3.773,2,110586,-,20250319T114612400000
633,2738.058,46.505032,9.8017678,2.899,8.211,-3.741,2,110586,-,20250319T114612500000
634,2737.465,46.5050282,9.801778,3.391,8.426,-3.843,2,110586,-,20250319T114612600000
635,2736.733,46.5050245,9.8017879,4.03,8.367,-3.71,2,110586,-,20250319T114612700000
636,2735.899,46.5050207,9.8017987,4.74,9.036,-3.746,2,110586,-,20250319T114612800000
637,2735.161,46.5050172,9.8018104,5.181,9.457,-3.702,2,110586,-,20250319T114612900000
638,2734.382,46.5050127,9.8018227,5.612,9.832,-4.497,2,110586,-,20250319T114613000000
639,2733.706,46.5050081,9.8018352,5.801,9.837,-4.846,2,110586,-,20250319T114613100000
640,2733.143,46.5050029,9.801849,5.779,10.403,-5.581,2,110586,-,20250319T114613200000
641,2732.726,46.5049976,9.8018629,5.528,10.376,-6.022,2,110586,-,20250319T114613300000
642,2732.393,46.5049923,9.8018773,5.183,10.562,-6.072,2,110586,-,20250319T114613400000
643,2732.105,46.5049868,9.8018921,4.819,10.877,-6.31,2,110586,-,20250319T114613500000
644,2731.994,46.504981,9.8019078,4.236,11.208,-6.765,2,110586,-,20250319T114613600000
645,2731.811,46.504974,9.8019241,3.864,11.933,-7.758,2,110586,-,20250319T114613700000
646,2731.635,46.5049671,9.8019413,3.555,12.76,-7.905,2,110586,-,20250319T114613800000
647,2731.925,46.5049614,9.8019587,2.61,12.375,-7.4,2,110586,-,20250319T114613900000
648,2731.798,46.5049552,9.8019743,2.431,11.911,-7.151,2,110586,-,20250319T114614000000
649,2731.82,46.5049495,9.8019903,2.055,11.885,-6.758,2,110586,-,20250319T114614100000
650,2731.552,46.5049434,9.8020065,2.164,12.424,-6.722,2,110586,-,20250319T114614200000
651,2731.133,46.5049374,9.8020226,2.487,12.781,-6.569,2,110586,-,20250319T114614300000
652,2730.695,46.5049314,9.802039,2.797,12.965,-6.469,2,110586,-,20250319T114614400000
653,2730.212,46.5049254,9.8020553,3.126,12.978,-6.483,2,110586,-,20250319T114614500000
654,2729.627,46.5049193,9.802071,3.562,12.734,-6.535,2,110586,-,20250319T114614600000
655,2728.985,46.5049132,9.8020867,4.025,12.727,-6.498,2,110586,-,20250319T114614700000
656,2728.197,46.5049073,9.8021022,4.639,12.729,-6.26,2,110586,-,20250319T114614800000
657,2727.339,46.504901,9.8021195,5.27,13.836,-6.595,2,110586,-,20250319T114614900000
658,2726.554,46.504895,9.802137,5.683,13.951,-6.528,2,110586,-,20250319T114615000000
659,2725.766,46.504889,9.8021549,6.036,14.134,-6.552,2,110586,-,20250319T114615100000
660,2725.142,46.5048823,9.8021732,6.076,14.089,-7.247,2,110586,-,20250319T114615200000
661,2724.534,46.5048755,9.8021918,6.085,14.277,-7.442,2,110586,-,20250319T114615300000
662,2724.056,46.5048688,9.802211,5.891,14.422,-7.59,2,110586,-,20250319T114615400000
663,2723.714,46.5048615,9.8022308,5.512,14.637,-8.194,2,110586,-,20250319T114615500000
664,2723.395,46.5048544,9.8022508,5.16,14.855,-8.202,2,110586,-,20250319T114615600000
665,2723.237,46.5048471,9.8022711,4.606,14.877,-8.462,2,110586,-,20250319T114615700000
666,2723.086,46.50484,9.8022919,4.133,15.251,-8.321,2,110586,-,20250319T114615800000
667,2722.979,46.5048328,9.8023126,3.662,15.316,-8.387,2,110586,-,20250319T114615900000
668,2722.81,46.5048258,9.8023332,3.367,15.404,-8.134,2,110586,-,20250319T114616000000
669,2722.545,46.5048186,9.802354,3.266,15.8,-8.118,2,110586,-,20250319T114616100000
670,2722.181,46.5048113,9.8023748,3.338,16.033,-8.022,2,110586,-,20250319T114616200000
671,2721.708,46.5048043,9.8023955,3.566,16.118,-7.699,2,110586,-,20250319T114616300000
672,2721.125,46.5047974,9.8024159,3.931,16.163,-7.471,2,110586,-,20250319T114616400000
673,2720.445,46.5047902,9.8024361,4.392,16.067,-7.55,2,110586,-,20250319T114616500000
674,2719.707,46.5047829,9.8024564,4.875,16.081,-7.619,2,110586,-,20250319T114616600000
675,2718.854,46.5047757,9.8024763,5.469,15.952,-7.488,2,110586,-,20250319T114616700000
676,2717.929,46.5047685,9.8024963,6.09,15.986,-7.541,2,110586,-,20250319T114616800000
677,2716.867,46.5047612,9.8025167,6.838,16.238,-7.598,2,110586,-,20250319T114616900000
678,2715.92,46.5047535,9.8025383,7.282,16.844,-8.023,2,110586,-,20250319T114617000000
679,2715.074,46.504746,9.8025604,7.488,17.044,-8.215,2,110586,-,20250319T114617100000
680,2714.304,46.5047384,9.8025829,7.539,17.259,-8.359,2,110586,-,20250319T114617200000
681,2713.599,46.5047304,9.8026058,7.474,17.441,-8.786,2,110586,-,20250319T114617300000
682,2712.987,46.5047219,9.8026294,7.269,17.764,-9.43,2,110586,-,20250319T114617400000
683,2712.415,46.5047135,9.8026533,7.034,18.062,-9.433,2,110586,-,20250319T114617500000
684,2711.942,46.5047051,9.8026774,6.677,18.12,-9.464,2,110586,-,20250319T114617600000
685,2711.677,46.5046961,9.8027018,6.053,18.151,-10.047,2,110586,-,20250319T114617700000
686,2711.508,46.5046872,9.8027264,5.39,18.243,-10.133,2,110586,-,20250319T114617800000
687,2711.246,46.5046776,9.8027508,4.978,18.299,-10.675,2,110586,-,20250319T114617900000
688,2711.015,46.504668,9.8027745,4.586,17.915,-10.849,2,110586,-,20250319T114618000000
689,2710.974,46.5046581,9.8027979,3.98,17.526,-11.265,2,110586,-,20250319T114618100000
690,2710.576,46.504648,9.8028208,3.98,17.526,-11.265,2,110586,-,20250319T114618200000
691,2710.178,46.5046379,9.8028436,3.98,17.526,-11.265,2,110586,-,20250319T114618300000
692,2710.449,46.5046304,9.8028652,3.102,16.599,-10.153,2,110586,-,20250319T114618400000
693,2710.672,46.5046223,9.8028877,2.425,16.603,-9.887,2,110586,-,20250319T114618500000
694,2711.218,46.5046149,9.8029109,1.466,16.787,-9.459,2,110586,-,20250319T114618600000
695,2711.274,46.5046068,9.8029335,1.234,17.029,-9.309,2,110586,-,20250319T114618700000
696,2711.283,46.5045988,9.8029558,1.085,16.972,-9.219,2,110586,-,20250319T114618800000
697,2711.229,46.5045908,9.8029781,1.036,17.047,-9.007,2,110586,-,20250319T114618900000
698,2711.074,46.5045828,9.8030007,1.115,17.312,-8.946,2,110586,-,20250319T114619000000
699,2710.875,46.5045745,9.8030235,1.236,17.589,-9.047,2,110586,-,20250319T114619100000
700,2710.482,46.504566,9.8030461,1.574,17.619,-9.138,2,110586,-,20250319T114619200000
701,2709.986,46.5045579,9.8030686,1.993,17.705,-8.863,2,110586,-,20250319T114619300000
702,2709.46,46.5045495,9.8030915,2.4,17.936,-8.898,2,110586,-,20250319T114619400000
703,2708.884,46.5045414,9.8031142,2.816,17.886,-8.792,2,110586,-,20250319T114619500000
704,2708.215,46.5045333,9.8031367,3.294,17.858,-8.682,2,110586,-,20250319T114619600000
705,2707.439,46.5045255,9.8031586,3.842,17.633,-8.448,2,110586,-,20250319T114619700000
706,2706.599,46.5045177,9.8031804,4.401,17.459,-8.335,2,110586,-,20250319T114619800000
707,2705.955,46.5045095,9.8032031,4.657,17.705,-8.771,2,110586,-,20250319T114619900000
708,2705.308,46.504501,9.8032269,4.887,18.39,-9.137,2,110586,-,20250319T114620000000
