,elevation,latitude,longitude,speedD,speedE,speedN,run,tf_id,discipline_from_name,timestamp
667,2739.446,46.5050968,9.8015649,1.321,5.386,-2.275,2,110592,-,20250319T130958700000
668,2739.514,46.5050946,9.8015726,1.091,5.668,-2.167,2,110592,-,20250319T130958800000
669,2739.732,46.5050927,9.8015803,0.722,5.803,-1.761,2,110592,-,20250319T130958900000
670,2740.446,46.5050904,9.8015889,-0.138,6.239,-1.433,2,110592,-,20250319T130959000000
671,2740.973,46.5050881,9.8015976,-0.701,6.492,-1.705,2,110592,-,20250319T130959100000
672,2741.349,46.5050858,9.8016032,-1.016,4.805,-2.089,2,110592,-,20250319T130959200000
673,2741.757,46.5050838,9.8016078,-1.352,3.787,-1.745,2,110592,-,20250319T130959300000
674,2741.845,46.5050826,9.8016127,-1.292,3.7,-1.514,2,110592,-,20250319T130959400000
675,2741.793,46.505081,9.8016182,-1.065,4.113,-2.06,2,110592,-,20250319T130959500000
676,2741.611,46.5050792,9.8016239,-0.707,4.189,-2.452,2,110592,-,20250319T130959600000
677,2741.388,46.5050772,9.8016298,-0.33,4.399,-2.876,2,110592,-,20250319T130959700000
678,2741.045,46.5050753,9.8016359,0.151,4.484,-2.956,2,110592,-,20250319T130959800000
679,2740.558,46.505074,9.8016426,0.764,4.954,-2.475,2,110592,-,20250319T130959900000
680,2740.18,46.5050723,9.8016497,1.165,5.243,-2.579,2,110592,-,20250319T131000000000
681,2739.88,46.5050703,9.8016568,1.388,5.427,-2.634,2,110592,-,20250319T131000100000
682,2739.641,46.5050679,9.8016642,1.496,5.625,-2.924,2,110592,-,20250319T131000200000
683,2739.485,46.5050654,9.8016721,1.501,5.977,-2.778,2,110592,-,20250319T131000300000
684,2739.397,46.5050624,9.8016804,1.419,6.3,-3.083,2,110592,-,20250319T131000400000
685,2739.319,46.5050592,9.8016898,1.332,7.076,-3.417,2,110592,-,20250319T131000500000
686,2739.276,46.5050557,9.8017005,1.211,8.024,-3.649,2,110592,-,20250319T131000600000
687,2739.178,46.5050522,9.8017104,1.177,7.667,-3.828,2,110592,-,20250319T131000700000
688,2738.948,46.5050488,9.8017205,1.362,7.751,-3.948,2,110592,-,20250319T131000800000
689,2738.589,46.5050454,9.8017303,1.728,7.633,-4.218,2,110592,-,20250319T131000900000
690,2738.159,46.505042,9.8017401,2.147,7.619,-4.24,2,110592,-,20250319T131001000000
691,2737.626,46.5050387,9.8017501,2.655,7.806,-4.396,2,110592,-,20250319T131001100000
692,2737.008,46.5050352,9.80176,3.222,7.766,-4.558,2,110592,-,20250319T131001200000
693,2736.355,46.5050318,9.8017697,3.763,7.634,-4.54,2,110592,-,20250319T131001300000
694,2735.62,46.5050281,9.8017796,4.356,7.787,-4.859,2,110592,-,20250319T131001400000
695,2734.847,46.505024,9.8017895,4.921,7.75,-5.229,2,110592,-,20250319T131001500000
696,2733.984,46.5050203,9.8017994,5.535,7.793,-5.091,2,110592,-,20250319T131001600000
697,2733.147,46.5050168,9.8018107,5.992,8.669,-4.811,2,110592,-,20250319T131001700000
698,2732.55,46.5050129,9.801823,5.992,9.358,-4.511,2,110592,-,20250319T131001800000
699,2731.922,46.5050084,9.8018356,6.042,9.686,-5.028,2,110592,-,20250319T131001900000
700,2731.498,46.5050027,9.8018497,5.772,10.514,-5.681,2,110592,-,20250319T131002000000
701,2731.103,46.5049975,9.8018643,5.475,10.978,-5.506,2,110592,-,20250319T131002100000
702,2730.876,46.5049919,9.8018795,4.956,11.352,-5.545,2,110592,-,20250319T131002200000
703,2730.817,46.504986,9.8018953,4.263,11.795,-5.662,2,110592,-,20250319T131002300000
704,2730.872,46.5049796,9.8019123,3.501,12.614,-6.105,2,110592,-,20250319T131002400000
705,2730.905,46.504974,9.8019279,2.911,11.916,-5.643,2,110592,-,20250319T131002500000
706,2730.837,46.5049683,9.8019435,2.564,11.852,-5.785,2,110592,-,20250319T131002600000
707,2730.774,46.5049626,9.8019588,2.282,11.681,-6.004,2,110592,-,20250319T131002700000
708,2730.753,46.5049568,9.801974,1.957,11.553,-5.909,2,110592,-,20250319T131002800000
709,2730.607,46.5049511,9.8019894,1.889,11.745,-6.131,2,110592,-,20250319T131002900000
710,2730.209,46.5049455,9.8020047,2.233,11.9,-6.527,2,110592,-,20250319T131003000000
711,2729.79,46.5049399,9.8020196,2.551,11.667,-6.57,2,110592,-,20250319T131003100000
712,2729.314,46.5049343,9.8020347,2.929,11.731,-6.626,2,110592,-,20250319T131003200000
713,2728.724,46.5049284,9.80205,3.421,11.919,-7.098,2,110592,-,20250319T131003300000
714,2728.072,46.5049229,9.802065,3.924,11.866,-6.79,2,110592,-,20250319T131003400000
715,2727.353,46.5049174,9.8020803,4.463,12.01,-6.884,2,110592,-,20250319T131003500000
716,2726.522,46.5049114,9.8020952,5.092,11.884,-7.307,2,110592,-,20250319T131003600000
717,2725.638,46.5049053,9.8021117,5.711,12.836,-7.521,2,110592,-,20250319T131003700000
718,2724.966,46.5048991,9.8021292,5.88,13.386,-7.232,2,110592,-,20250319T131003800000
719,2724.293,46.5048927,9.8021465,6.009,13.356,-7.209,2,110592,-,20250319T131003900000
720,2723.703,46.5048862,9.8021651,5.979,14.137,-7.027,2,110592,-,20250319T131004000000
721,2723.198,46.5048794,9.8021836,5.824,14.085,-7.275,2,110592,-,20250319T131004100000
722,2722.81,46.5048726,9.8022024,5.516,14.21,-7.096,2,110592,-,20250319T131004200000
723,2722.429,46.5048658,9.8022218,5.247,14.606,-7.181,2,110592,-,20250319T131004300000
724,2722.146,46.5048588,9.8022411,4.854,14.511,-7.11,2,110592,-,20250319T131004400000
725,2721.986,46.5048516,9.8022607,4.343,14.759,-7.309,2,110592,-,20250319T131004500000
726,2721.991,46.5048447,9.8022804,3.648,14.785,-6.931,2,110592,-,20250319T131004600000
727,2721.977,46.5048375,9.8023002,3.101,14.907,-7.283,2,110592,-,20250319T131004700000
728,2721.777,46.5048306,9.8023202,2.941,15.159,-7.456,2,110592,-,20250319T131004800000
729,2721.554,46.5048235,9.8023404,2.846,15.407,-7.737,2,110592,-,20250319T131004900000
